"Données extraites de la PhyC le 07/02/2020 à 14:19:06 TU","Serie de mesure : O004402001 | Station Hydro : La Pique à Bagnères-de-Luchon | Hauteurs | Les plus valides | du 01/06/2013 00:00 au 31/07/2013 23:59"
"Date (TU)","Valeur (mm)",Qualification,Méthode,Continuité
"01/06/2013 00:00",1970,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 00:15",1960,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 00:30",1960,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 00:45",1960,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 01:00",1970,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 01:15",1960,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 01:30",1960,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 01:45",1950,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 02:00",1950,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 02:15",1960,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 02:30",1950,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 02:45",1960,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 03:00",1950,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 03:15",1940,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 03:30",1940,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 03:45",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 04:00",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 04:15",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 04:30",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 04:45",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 05:00",1940,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 05:15",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 05:30",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 05:45",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 06:00",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 06:15",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 06:30",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 06:45",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 07:00",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 07:15",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 07:30",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 07:45",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 08:00",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 08:15",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 08:30",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 08:45",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 09:00",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 09:15",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 09:30",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 09:45",1930,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 10:00",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 10:15",1910,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 10:30",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 10:45",1910,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 11:00",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 11:15",1920,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 11:30",1910,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 11:45",1910,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 12:00",1910,"Valeur non qualifiée",Mesure,Oui
"01/06/2013 12:15",1900,"Valeur non qualifiée",Mesure,Oui
