date,height
2021-04-09 00:40:00,328.0
2021-04-09 02:00:00,331.0
2021-04-09 03:00:00,330.0
2021-04-09 04:00:00,329.0
2021-04-09 05:00:00,329.0
2021-04-09 06:00:00,328.0
2021-04-09 07:00:00,330.0
2021-04-09 08:00:00,329.0
2021-04-09 09:00:00,332.0
2021-04-09 10:00:00,329.0
2021-04-09 11:00:00,328.0
2021-04-09 12:00:00,329.0
2021-04-09 13:00:00,329.0
2021-04-09 14:00:00,329.0
2021-04-09 15:00:00,328.0
2021-04-09 16:00:00,328.0
2021-04-09 17:00:00,328.0
2021-04-09 18:00:00,329.0
2021-04-09 19:00:00,329.0
2021-04-09 20:00:00,329.0
2021-04-09 21:00:00,332.0
2021-04-09 22:00:00,330.0
2021-04-09 23:00:00,328.0
2021-04-10 00:00:00,328.0
2021-04-10 00:40:00,332.0
2021-04-10 01:40:00,333.0
2021-04-10 02:40:00,337.0
2021-04-10 03:40:00,341.0
2021-04-10 05:00:00,357.0
2021-04-10 06:00:00,373.0
2021-04-10 06:50:00,390.0
2021-04-10 08:00:00,412.0
2021-04-10 09:00:00,442.0
2021-04-10 10:00:00,479.0
2021-04-10 10:50:00,505.0
2021-04-10 12:00:00,534.0
2021-04-10 13:00:00,551.0
2021-04-10 13:40:00,555.0
2021-04-10 14:40:00,555.0
2021-04-10 15:40:00,554.0
2021-04-10 17:00:00,546.0
2021-04-10 17:50:00,537.0
2021-04-10 18:50:00,527.0
2021-04-10 19:40:00,519.0
2021-04-10 21:00:00,508.0
2021-04-10 21:40:00,504.0
2021-04-10 22:50:00,495.0
2021-04-10 23:40:00,489.0
2021-04-11 00:40:00,483.0
2021-04-11 01:20:00,478.0
2021-04-11 03:00:00,468.0
2021-04-11 04:00:00,465.0
2021-04-11 04:30:00,461.0
2021-04-11 05:20:00,456.0
2021-04-11 06:20:00,450.0
2021-04-11 07:20:00,446.0
2021-04-11 08:20:00,442.0
2021-04-11 09:50:00,434.0
2021-04-11 10:50:00,431.0
2021-04-11 11:20:00,427.0
2021-04-11 12:20:00,425.0
2021-04-11 13:10:00,421.0
2021-04-11 15:00:00,415.0
2021-04-11 16:00:00,411.0
2021-04-11 17:00:00,409.0
2021-04-11 17:30:00,404.0
2021-04-11 18:30:00,403.0
2021-04-11 19:30:00,401.0
2021-04-11 20:30:00,401.0
2021-04-11 21:30:00,397.0
2021-04-11 22:30:00,396.0
2021-04-11 23:30:00,397.0
